call,replyrecv,rtt
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
576,553,1129
