call,replyrecv,rtt
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
635,613,1248
