call,replyrecv,rtt
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
2294,2275,4569
