signal,jitter,cache,syscall
0,0,25099,1817
1,77,25104,1856
0,25,25077,1817
1,74,25103,1855
1,75,25104,1856
1,86,25104,1856
1,76,25104,1856
1,75,25104,1856
0,24,25063,1817
0,23,25063,1817
0,46,25063,1817
1,76,25112,1854
1,75,25103,1855
0,0,25099,1817
1,77,25104,1856
1,82,25107,1857
1,73,25103,1855
0,0,25099,1817
0,0,25063,1817
1,75,25103,1855
0,0,25109,1817
0,0,25063,1817
0,0,25063,1817
1,73,25103,1855
0,0,25092,1817
0,0,25063,1817
1,76,25103,1855
0,0,25107,1817
0,0,25063,1817
1,76,25103,1855
1,72,25120,1853
1,75,25104,1856
1,75,25105,1865
0,26,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
1,75,25103,1855
1,76,25103,1855
0,0,25081,1817
0,0,25063,1817
0,0,25063,1817
1,72,25103,1855
0,0,25089,1817
0,0,25091,1817
1,75,25104,1856
0,0,25067,1817
0,0,25063,1817
1,72,25103,1855
1,74,25105,1865
1,75,25103,1855
1,85,25103,1855
0,0,25077,1817
1,76,25104,1856
1,73,25103,1855
0,0,25089,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
1,73,25107,1853
0,0,25089,1817
1,72,25107,1853
1,73,25107,1853
0,0,25091,1817
0,0,25099,1817
1,72,25107,1853
1,75,25113,1853
0,0,25099,1817
0,0,25063,1817
0,0,25063,1817
1,85,25107,1857
1,74,25103,1855
0,0,25099,1817
1,75,25112,1854
1,72,25107,1853
1,72,25107,1853
0,0,25088,1817
0,0,25063,1817
1,76,25104,1856
0,24,25077,1817
1,76,25103,1855
0,0,25063,1817
1,74,25103,1855
0,0,25102,1817
1,75,25104,1856
0,24,25063,1817
0,22,25063,1817
0,36,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
1,74,25103,1855
0,0,25107,1817
1,76,25104,1856
0,0,25086,1817
1,85,25104,1856
0,26,25063,1817
1,74,25103,1855
0,0,25079,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
1,76,25103,1855
1,72,25103,1855
0,0,25089,1817
0,0,25089,1817
0,0,25085,1817
0,0,25099,1817
1,73,25103,1855
1,74,25103,1855
0,0,25109,1817
0,0,25063,1817
1,73,25103,1855
0,0,25089,1817
0,0,25099,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
1,72,25107,1853
1,74,25114,1853
0,0,25102,1817
0,0,25063,1817
1,75,25104,1856
1,85,25103,1855
1,75,25104,1856
1,73,25103,1855
1,73,25103,1855
1,76,25103,1855
1,76,25103,1855
0,0,25103,1817
1,75,25104,1856
0,23,25077,1817
0,0,25063,1817
1,72,25103,1855
0,0,25089,1817
1,75,25104,1856
0,25,25063,1817
1,72,25103,1855
0,0,25089,1817
0,0,25086,1817
0,0,25063,1817
1,74,25103,1855
1,85,25107,1857
1,76,25103,1855
1,76,25104,1856
0,24,25077,1817
1,72,25103,1855
0,0,25109,1817
1,72,25107,1853
0,0,25087,1817
1,74,25103,1855
1,85,25104,1856
1,76,25103,1855
1,74,25103,1855
1,73,25107,1853
1,75,25104,1856
0,25,25077,1817
0,23,25063,1817
1,75,25104,1856
0,23,25077,1817
1,74,25103,1855
0,0,25102,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
1,73,25103,1855
0,0,25112,1817
1,75,25104,1856
1,74,25103,1855
1,72,25107,1853
1,88,25104,1856
0,36,25087,1817
0,0,25063,1817
1,77,25104,1856
0,25,25077,1817
1,75,25104,1856
0,24,25063,1817
0,22,25063,1817
1,75,25104,1865
1,73,25107,1853
1,86,25107,1857
0,0,25063,1817
0,0,25063,1817
1,72,25104,1853
1,75,25103,1855
0,0,25109,1817
1,75,25104,1856
1,72,25107,1853
1,72,25107,1853
0,0,25088,1817
1,75,25104,1856
1,76,25104,1856
0,25,25077,1817
1,72,25103,1855
1,72,25103,1855
1,72,25116,1854
0,0,25089,1817
0,0,25099,1817
1,75,25103,1855
0,0,25107,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
0,0,25063,1817
1,75,25104,1855
0,26,25063,1817
1,72,25103,1855
0,0,25087,1817
0,0,25086,1817
0,0,25063,1817
1,76,25104,1856
0,24,25077,1817
1,75,25103,1855
0,0,25099,1817
1,74,25114,1853
0,0,25102,1817
