signal,jitter,cache,syscall
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
1,0,25063,1809
0,0,25063,1809
1,0,25063,1809
0,0,25063,1809
0,0,25063,1809
1,0,25063,1809
